,KNN__knn_params,features_droper__features_todrop,reduction__reduction_params,mean_test_score,std_test_score,mean_fit_time,mean_score_time
26,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'NCA', 'n_components': 10}","-1,01543985594238","0,174300115987266","48,2282707214356","0,328317594528198"
2,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'NCA', 'n_components': 10}","-1,01979767907163","0,17459483766849","48,0313753604889","0,3237633228302"
50,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'NCA', 'n_components': 10}","-1,01979767907163","0,17459483766849","44,7701904296875","0,302027225494385"
25,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'NCA', 'n_components': 100}","-1,0513855942377","0,170155075678641","160,531389284134","0,799081993103027"
1,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'NCA', 'n_components': 100}","-1,05918887555022","0,171980674587505","162,001662540436","0,776938438415527"
49,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'NCA', 'n_components': 100}","-1,05918887555022","0,171980674587505","151,831777906418","0,77108473777771"
24,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'NCA', 'n_components': 200}","-1,06986962785114","0,176367357952109","288,253633451462","1,38035626411438"
0,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'NCA', 'n_components': 200}","-1,0882612244898","0,175664705470898","269,934787464142","1,32587075233459"
48,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'NCA', 'n_components': 200}","-1,0882612244898","0,175664705470898","270,18076839447","1,30277161598206"
28,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",,"{'reduction_type': 'PCA', 'n_components': 100}","-1,12390004001601","0,240733719367213","7,99987978935242","0,852969884872437"
20,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 10}","-1,14496982793117","0,161879228495599","71,8069388866425","0,760761785507202"
68,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 10}","-1,14496982793117","0,161879228495599","60,1981204032898","0,706977701187134"
44,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 10}","-1,15105378151261","0,164083252051157","59,9912560462952","0,674878406524658"
52,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",,"{'reduction_type': 'PCA', 'n_components': 100}","-1,15389443777511","0,274537331940112","7,5422749042511","0,803495979309082"
4,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",,"{'reduction_type': 'PCA', 'n_components': 100}","-1,16737919167667","0,265417321519981","8,14195556640625","0,848699522018432"
43,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 100}","-1,17879215686275","0,159128100190679","138,754293394089","1,16135115623474"
19,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 100}","-1,17896950780312","0,163571867323522","144,840270328522","1,1933581829071"
67,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}","['title_year', 'actor_1_facebook_likes', 'actor_2_facebook_likes', 'actor_3_facebook_likes', 'movie_facebook_likes', 'num_critic_for_reviews', 'director_facebook_likes', 'num_user_for_reviews', 'num_voted_users', 'duration']","{'reduction_type': 'NCA', 'n_components': 100}","-1,17896950780312","0,163571867323522","143,07275056839","1,12748155593872"
30,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 200}","-1,18521800720288","0,235094197280328","290,453678274155","2,09832134246826"
6,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 200}","-1,18958031212485","0,245327415758496","276,575788831711","1,39093317985535"
54,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 200}","-1,18958031212485","0,245327415758496","262,877072381973","1,30824589729309"
32,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19379599839936","0,207821418489479","66,15051445961","0,389459657669067"
31,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'manhattan'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 100}","-1,19678279311725","0,262227987911625","162,465171670914","0,864376831054687"
8,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19988859543818","0,203738363022093","62,8698437690735","0,354369497299194"
56,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'euclidean'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 10}","-1,19988859543818","0,203738363022093","67,6521856784821","0,362417459487915"
7,"{'n_neighbors': 6, 'algorithm': 'ball_tree', 'metric': 'minkowski'}",['imdb_score'],"{'reduction_type': 'NCA', 'n_components': 100}","-1,2014206482593","0,209227446160156","151,615586709976","0,755897235870361"
